| Variável        | Nome longo                              | Descrição                                                                                                                                                                                                                                |
|-----------------|-----------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| micro_code      | Código da microrregião                  | Número de ID único dado pelo IBGE a cada microrregião (5 dígitos)                                                                                                                                                                        |
| micro_name      | Nome da microrregião                    | Nome de cada microrregião                                                                                                                                                                                                                |
| micro_name_ibge | Nome da microrregião (fontes IBGE)      | Nome de cada microrregião (das fontes do IBGE)                                                                                                                                                                                           |
| meso_code       | Código da mesorregião                   | Número de ID único dado pelo IBGE a cada mesorregião (4 dígitos)                                                                                                                                                                         |
| meso_name       | Nome da mesorregião                     | Nome de cada mesorregião                                                                                                                                                                                                                 |
| state_code      | Código do estado                        | Número de ID único dado pelo IBGE a cada estado                                                                                                                                                                                          |
| state_name      | Nome do estado                          | Nome do estado                                                                                                                                                                                                                           |
| region_code     | Código da região                        | Código da região                                                                                                                                                                                                                         |
| region_name     | Nome da região                          | Nome da região                                                                                                                                                                                                                           |
| biome_code      | Código do bioma                         | Código do bioma                                                                                                                                                                                                                          |
| biome_name      | Nome do bioma                           | Nome do bioma                                                                                                                                                                                                                            |
| ecozone_code    | Código da ecozona                       | Código da ecozona (igual ao bioma, exceto pela Mata Atlântica, código do bioma 6, que foi separada em Mata Atlântica NE, código da ecozona 6, Mata Atlântica SE, código da ecozona 7, e Mata Atlântica S, código da ecozona 8)            |
| ecozone_name    | Nome da ecozona                         | Nome da ecozona (igual ao bioma, exceto pela Mata Atlântica, que foi separada em Mata Atlântica NE, Mata Atlântica SE, e Mata Atlântica S)                                                                                               |
| main_climate    | Regime climático principal              | Regime climático mais prevalente na microrregião, tropical, árido, temperado, continental e polar. Baseado nos regimes climáticos de Köppen-Geiger.                                                                                                                                        |
| month           | Mês                                     | Índice de mês do calendário, 1 = Janeiro, 12 = Dezembro                                                                                                                                                                                  |
| year            | Ano                                     | Ano 2000 - 2019                                                                                                                                                                                                                          |
| time            | 0                                       | Índice de tempo começando em 1 para Janeiro de 2000                                                                                                                                                                                      |
| dengue_cases    | Casos notificados de dengue             | Número de casos notificados de dengue registrados no sistema de doenças notificáveis no Brasil (SINAN) na microrregião de referência, no mês dos primeiros sintomas                                                                     |
| population      | População                               | População estimada, baseada em projeções calculadas usando os censos de 2000 e 2010, e contagens realizadas em 2007 e 2017                                                                                                               |
| pop_density     | Densidade populacional                  | Densidade populacional (número de pessoas por km²)                                                                                                                                                                                       |
| tmax            | Temperatura máxima                      | Média mensal da temperatura máxima diária; valores gradeados (em uma resolução de 0.5°) calculados para cada microrregião usando o pacote 'exactextratr' do R (°C)                                                                       |
| tmin            | Temperatura mínima                      | Média mensal da temperatura mínima diária; valores gradeados (em uma resolução de 0.5°) calculados para cada microrregião usando o pacote 'exactextratr' do R (°C)                                                                       |
| pdsi            | Índice de severidade de seca de Palmer  | Índice de severidade de seca de Palmer auto-calibrado para cada microrregião (uma medida de quão úmida ou seca uma região está em relação às condições usuais). Valores negativos representam períodos de seca, valores positivos períodos úmidos. |
| urban           | População urbana                        | Percentual de habitantes que vivem em áreas urbanas de acordo com o censo de 2010                                                                                                                                                        |
| water_network   | Acesso à rede de água                   | Percentual de habitantes com acesso à rede de água encanada de acordo com o censo de 2010                                                                                                                                                |
| water_shortage  | Falta de água                           | Frequência de relatos de falta de água por microrregião entre 2000 - 2016                                                                                                                                                                |
